Russie -- lieu-1 --> Moscou | JDM
Lady Gaga -- isa --> auteur-compositrice-interpr�te | Nouvelle relation
Lady Gaga -- syn --> Stefani Joanne Angelina Germanotta | Nouvelle relation
Lady Gaga -- syn --> Mother Monster | nouveau mot
Lambert Wilson -- holo --> La Femme publique | Nouvelle relation
Lambert Wilson -- isa --> Acteur | Nouvelle relation
le Juge Fayard dit Le Shériff -- has_auteur --> Yves Boisset | Nouvelle relation
le Juge Fayard dit Le Shériff -- has_actors --> Yves Boisset | Nouvelle relation
Leonardo DiCaprio -- holo --> voir filmographie | nouveau mot
Leonardo DiCaprio -- syn --> Leonardo Wilhelm DiCaprio | nouveau mot
Leonardo DiCaprio -- isa --> Acteur | Nouvelle relation
Leonardo DiCaprio -- syn --> Leo | Nouvelle relation
Les Enfoirés -- isa --> artistes et bénévoles | nouveau mot
Les Enfoirés -- syn --> Les Enfoirés du cœur | nouveau mot
Les Frères Scott -- lieu --> The WB | nouveau mot
Les Simpson -- lieu --> Fox Broadcasting Company | nouveau mot
Liam Hemsworth -- holo --> La Dernière Chanson | nouveau mot
Liam Hemsworth -- isa --> Acteur | Nouvelle relation
Liam Hemsworth -- syn --> LiHem | nouveau mot
Liam Hemsworth -- holo --> Les Voisins | Nouvelle relation
Liam Neeson -- holo --> Mission | JDM
Liam Neeson -- isa --> Acteur | Nouvelle relation
Louis Aragon -- carac --> Français | Nouvelle relation
Louis de Funès -- holo --> La Traversée de Paris | JDM
Louis de Funès -- syn --> Louis Germain David de Funès de Galarza | nouveau mot
Louis de Funès -- isa --> Acteur | Nouvelle relation
Ludwig van Beethoven -- isa --> Compositeur | Nouvelle relation
Luis Mariano -- isa --> Chanteur | Nouvelle relation
Luis Mariano -- isa --> Acteur | Nouvelle relation
Luis Mariano -- syn --> Mariano Eusebio González y García | nouveau mot
Léa Seydoux -- holo --> La Belle Personne | JDM
Léa Seydoux -- syn --> Léa Hélène Seydoux Fornier de Clausonne | Nouvelle relation
Léa Seydoux -- isa --> actrice | Nouvelle relation
Madagascar -- lieu-1 --> Antananarivo | JDM
Madagascar -- isa --> République | Nouvelle relation
Madagascar -- lieu-1 --> malgache | Nouvelle relation
Madagascar -- lieu-1 --> ariary | Nouvelle relation
Madagascar -- lieu-1 --> Antananarivo | JDM
Madonna -- isa --> auteur-compositrice-interpr�te | Nouvelle relation
Madonna -- isa --> actrice | Nouvelle relation
Madonna -- syn --> Madonna Louise Ciccone | Nouvelle relation
Madonna -- syn --> The Queen of Pop | nouveau mot
Malaisie -- lieu-1 --> Kuala Lumpur | JDM
Malaisie -- isa --> Monarchie constitutionnelle | Nouvelle relation
Malaisie -- lieu-1 --> Malais | Nouvelle relation
Malaisie -- lieu-1 --> Ringgit | Nouvelle relation
Malaisie -- lieu-1 --> Kuala Lumpur | JDM
Maldives -- lieu-1 --> Malé | JDM
Maldives -- isa --> République | Nouvelle relation
Maldives -- lieu-1 --> Maldivien | Nouvelle relation
Maldives -- lieu-1 --> Rufiyaa | nouveau mot
Maldives -- lieu-1 --> Malé | JDM
Malte -- lieu-1 --> La Valette | JDM
Malte -- isa --> République | Nouvelle relation
Malte -- lieu-1 --> Maltais | Nouvelle relation
Malte -- lieu-1 --> Euro | Nouvelle relation
Malte -- lieu-1 --> Birkirkara | Nouvelle relation
Marilyn Monroe -- holo --> Niagara | JDM
Marilyn Monroe -- syn --> Norma Jeane Mortenson | Nouvelle relation
Marilyn Monroe -- isa --> actrice | Nouvelle relation
mark Wahlberg -- holo --> Boogie Nights | nouveau mot
mark Wahlberg -- syn --> Mark Robert Michael Wahlberg | nouveau mot
mark Wahlberg -- isa --> Acteur | Nouvelle relation
mark Wahlberg -- syn --> Marky Mark | nouveau mot
Maroc -- lieu-1 --> Rabat | JDM
Maroc -- lieu-1 --> Casablanca | JDM
Maroc -- isa --> Monarchie constitutionnelle | Nouvelle relation
Maroc -- lieu-1 --> Arabe | Nouvelle relation
Maroc -- lieu-1 --> Dirham marocain | nouveau mot
Maroc -- lieu --> ONU | Nouvelle relation
Mary-Kate et Ashley Olsen -- syn --> Mary-Kate Olsen | nouveau mot
Mary-Kate et Ashley Olsen -- isa --> actrices | Nouvelle relation
Mary-Kate et Ashley Olsen -- holo --> La Fête à la maison | Nouvelle relation
Matt Damon -- holo --> Will Hunting | nouveau mot
Matt Damon -- syn --> Matthew Paige Damon | nouveau mot
Matt Damon -- isa --> Acteur | Nouvelle relation
Matt Damon -- holo --> 30 Rock | nouveau mot
matthew McConaughey -- holo --> Génération rebelle | nouveau mot
matthew McConaughey -- syn --> Matthew David McConaughey | nouveau mot
matthew McConaughey -- isa --> Acteur | Nouvelle relation
matthew McConaughey -- holo --> True Detective | nouveau mot
Mentalist -- lieu --> CBS | Nouvelle relation
Meryl Streep -- holo --> Voyage au bout de l'enfer | nouveau mot
Meryl Streep -- syn --> Mary Louise Streep | Nouvelle relation
Meryl Streep -- isa --> actrice | Nouvelle relation
Meryl Streep -- holo --> Holocauste | Nouvelle relation
Mexique -- lieu-1 --> Mexico | JDM
Mexique -- isa --> République constitutionnelle | Nouvelle relation
Mexique -- lieu-1 --> Espagnol | Nouvelle relation
Mexique -- lieu-1 --> Peso mexicain | Nouvelle relation
Mexique -- lieu-1 --> Mexico | JDM
Michael Jackson -- isa --> Chanteur | Nouvelle relation
Michael Jackson -- syn --> Michael Joseph Jackson | nouveau mot
Michael Jackson -- syn --> The king of pop | Nouvelle relation
Michael Schumacher -- syn --> Schumi | Nouvelle relation
Michaël Youn -- holo --> La Beuze | nouveau mot
Michaël Youn -- syn --> Michaël Benayoun | nouveau mot
Michaël Youn -- isa --> acteur | Nouvelle relation
Michel Legrand -- holo --> Les Parapluies de Cherbourg | Nouvelle relation
Michel Legrand -- isa --> Compositeur | Nouvelle relation
Michel Legrand -- syn --> Big Mike | nouveau mot
mick Jagger -- isa --> chanteur | Nouvelle relation
mick Jagger -- isa --> acteur | Nouvelle relation
mick Jagger -- syn --> Michael Philip Jagger | Nouvelle relation
Mila Kunis -- holo --> Max Payne | nouveau mot
Mila Kunis -- syn --> Milena Markovna Kunis | Nouvelle relation
Mila Kunis -- isa --> actrice | Nouvelle relation
Mila Kunis -- holo --> That '70s Show | Nouvelle relation
Miley Cyrus -- isa --> actrice | Nouvelle relation
Miley Cyrus -- syn --> Destiny Hope Cyrus | Nouvelle relation
Mimie Mathy -- syn --> Michèle Mathy | Nouvelle relation
Mimie Mathy -- isa --> actrice | Nouvelle relation
Mimie Mathy -- holo --> Joséphine, ange gardien | Nouvelle relation
Moldavie -- lieu-1 --> Chișinău | nouveau mot
Moldavie -- isa --> République | Nouvelle relation
Moldavie -- lieu-1 --> Roumain | Nouvelle relation
Moldavie -- lieu-1 --> Leu moldave | nouveau mot
Moldavie -- lieu-1 --> Chișinău | nouveau mot
Molière -- carac --> français | JDM
Molière -- syn --> Jean-Baptiste Poquelin | JDM
Monaco -- isa --> Monarchie constitutionnelle | Nouvelle relation
Monaco -- lieu-1 --> Français | Nouvelle relation
Monaco -- lieu-1 --> Euro | Nouvelle relation
Monaco -- has_part --> Monte-Carlo | JDM
Montesquieu -- carac --> Français | Nouvelle relation
Montesquieu -- syn --> Charles de Secondat | nouveau mot
Nabilla Benattia -- syn --> Nabilla Leona Grange-Benattia | nouveau mot
Natalie Portman -- holo --> Léon | JDM
Natalie Portman -- syn --> Natalie Hershlag | nouveau mot
Natalie Portman -- isa --> actrice | Nouvelle relation
Nicholas Hoult -- holo --> Pour un garçon | nouveau mot
Nicholas Hoult -- syn --> Nicholas Caradoc Hoult | nouveau mot
Nicholas Hoult -- isa --> Acteur | Nouvelle relation
Nicholas Hoult -- holo --> Skins | Nouvelle relation
Nicolas Cage -- holo --> Arizona Junior | JDM
Nicolas Cage -- syn --> Nicolas Kim Coppola | nouveau mot
Nicolas Cage -- isa --> Acteur | Nouvelle relation
Niki Lauda -- syn --> L'ordinateur | Nouvelle relation
Nouvelle-Zélande -- lieu-1 --> Wellington | Nouvelle relation
Nouvelle-Zélande -- isa --> Monarchie parlementaire | Nouvelle relation
Nouvelle-Zélande -- lieu-1 --> Anglais | Nouvelle relation
Nouvelle-Zélande -- lieu-1 --> Dollar néo-zélandais | nouveau mot
Nouvelle-Zélande -- lieu-1 --> Auckland | JDM
Pascal Obispo -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Pascal Obispo -- syn --> Captain Samouraï Flower, Vitoo | nouveau mot
patrick Bruel -- isa --> Chanteur | Nouvelle relation
patrick Bruel -- syn --> Patrick Maurice Benguigui | nouveau mot
Paul Verlaine -- carac --> français | Nouvelle relation
Paul Verlaine -- syn --> Paul Marie Verlaine | Nouvelle relation
Paul Éluard -- carac --> Français | Nouvelle relation
Paul Éluard -- syn --> Eugène Émile Paul Grindel | Nouvelle relation
Pays-Bas -- lieu-1 --> Amsterdam | JDM
Pays-Bas -- isa --> Monarchie constitutionnelle | Nouvelle relation
Pays-Bas -- lieu-1 --> Néerlandais | Nouvelle relation
Pays-Bas -- lieu-1 --> Euro | Nouvelle relation
Pays-Bas -- lieu-1 --> Amsterdam | JDM
Pharrell Williams -- isa --> Producteur | Nouvelle relation
Philippe Bouvard -- syn --> Philippe Pierre Louis Bouvard | Nouvelle relation
Pierre Corneille -- carac --> français | Nouvelle relation
Plus belle la vie -- lieu --> France 3 | Nouvelle relation
Pologne -- lieu-1 --> Varsovie | JDM
Pologne -- isa --> République | Nouvelle relation
Pologne -- lieu-1 --> Polonais | Nouvelle relation
Pologne -- lieu-1 --> Złoty | nouveau mot
Pologne -- lieu-1 --> Varsovie | JDM
Portugal -- lieu-1 --> Lisbonne | JDM
Portugal -- isa --> République | Nouvelle relation
Portugal -- lieu-1 --> Portugais | Nouvelle relation
Portugal -- lieu-1 --> Euro | Nouvelle relation
Portugal -- lieu-1 --> Lisbonne | JDM
Pretty Little Liars -- lieu --> ABC Family | nouveau mot
Qatar -- lieu-1 --> Doha | JDM
Qatar -- isa --> Monarchie absolue | Nouvelle relation
Qatar -- lieu-1 --> Arabe | Nouvelle relation
Qatar -- lieu-1 --> Riyal qatarien | nouveau mot
Qatar -- lieu-1 --> Doha | JDM
Quentin Tarantino -- holo --> Reservoir Dogs | Nouvelle relation
Quentin Tarantino -- syn --> Quentin Jerome Tarantino | nouveau mot
Quentin Tarantino -- isa --> réalisateur | JDM
Rammstein -- has_part --> Till Lindemann | nouveau mot
Renaud -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Renaud -- isa --> Acteur | Nouvelle relation
Renaud -- syn --> Renaud Pierre Manuel Séchan | nouveau mot
Rihanna -- isa --> Chanteuse | Nouvelle relation
Rihanna -- isa --> actrice | Nouvelle relation
Rihanna -- syn --> Robyn Rihanna Fenty | nouveau mot
Robert De Niro -- holo --> voir filmographie | nouveau mot
Robert De Niro -- syn --> Robert Mario De Niro, Jr | nouveau mot
Robert De Niro -- isa --> Acteur | Nouvelle relation
Robert Downey Jr. -- holo --> Chaplin | JDM
Robert Downey Jr. -- syn --> Robert John Downey Jr | Nouvelle relation
Robert Downey Jr. -- isa --> Acteur | Nouvelle relation
Robin Wright -- holo --> Forrest Gump | JDM
Robin Wright -- syn --> Robin Virginia Gayle Wright | nouveau mot
Roman Polanski -- holo --> Répulsion | Nouvelle relation
Roman Polanski -- syn --> Raymond Thierry Liebling | Nouvelle relation
Roman Polanski -- isa --> Réalisateur | Nouvelle relation
Rosa Luxemburg -- syn --> Różalia Luksemburg | nouveau mot
Roumanie -- lieu-1 --> Bucarest | JDM
Roumanie -- isa --> République semi-présidentielle | nouveau mot
Roumanie -- lieu-1 --> Roumain | Nouvelle relation
Roumanie -- lieu-1 --> Nouveau  | Nouvelle relation
Roumanie -- lieu-1 --> Bucarest | JDM
Royaume-Uni -- lieu-1 --> Londres | JDM
Royaume-Uni -- isa --> Monarchie constitutionnelle | Nouvelle relation
Royaume-Uni -- lieu-1 --> Anglais | Nouvelle relation
Royaume-Uni -- lieu-1 --> Livre sterling | Nouvelle relation
Royaume-Uni -- lieu-1 --> Londres | JDM
Russie -- lieu-1 --> Moscou | JDM
Russie -- isa --> République | Nouvelle relation
Russie -- lieu-1 --> Russe | Nouvelle relation
Russie -- lieu-1 --> Rouble | Nouvelle relation
Russie -- lieu --> ONU | Nouvelle relation
Russie -- lieu-1 --> Moscou | JDM
Ryan Gosling -- holo --> N'oublie Jamais | nouveau mot
Ryan Gosling -- syn --> Ryan Thomas Gosling | nouveau mot
Ryan Gosling -- isa --> Acteur | Nouvelle relation
République démocratique du Congo -- lieu-1 --> Kinshasa | JDM
République démocratique du Congo -- isa --> République | Nouvelle relation
République démocratique du Congo -- lieu-1 --> Français | Nouvelle relation
République démocratique du Congo -- lieu-1 --> Franc congolais | nouveau mot
République démocratique du Congo -- lieu-1 --> Kinshasa | JDM
Sabine Azéma -- holo --> La vie est un roman | nouveau mot
Sabine Azéma -- syn --> Sabine Florence Azéma | nouveau mot
Sabine Azéma -- isa --> actrice | Nouvelle relation
Salma Hayek -- holo --> Desperado | JDM
Salma Hayek -- syn --> Salma Valgarma Hayek Jiménez | nouveau mot
Salma Hayek -- isa --> actrice | Nouvelle relation
Sandra Bullock -- holo --> Demolition Man | JDM
Sandra Bullock -- syn --> Sandra Annette Bullock | Nouvelle relation
Sandra Bullock -- isa --> actrice | Nouvelle relation
Sandrine Kiberlain -- holo --> Les Patriotes | JDM
Sandrine Kiberlain -- isa --> actrice | Nouvelle relation
Scarlett Johansson -- holo --> L'Homme qui murmurait à l'oreille des chevaux | nouveau mot
Scarlett Johansson -- isa --> actrice | Nouvelle relation
Sean Connery -- holo --> voir section détaillée | nouveau mot
Sean Connery -- syn --> Thomas Sean Connery | nouveau mot
Sean Connery -- isa --> Acteur | Nouvelle relation
Selena Gomez -- isa --> actrice | Nouvelle relation
Selena Gomez -- syn --> Selena Marie Gomez | Nouvelle relation
Serge Gainsbourg -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Serge Gainsbourg -- syn --> Lucien Ginsburg | Nouvelle relation
Serge Gainsbourg -- syn --> Julien Grix, Gainsbarre, l'homme à tête de chou | nouveau mot
Serge Lama -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Serge Lama -- syn --> Serge Chauvier | Nouvelle relation
Shaka Ponk -- has_part --> Goz (mascotte) | nouveau mot
Shakira -- isa --> Chanteuse | Nouvelle relation
Shakira -- syn --> Shakira Isabel Mebarak Ripoll | nouveau mot
Slumdog Millionaire -- has_auteur --> Danny Boyle | JDM
Slumdog Millionaire -- has_actors --> Simon Beaufoy | nouveau mot
Sophie Marceau -- holo --> La Boum | JDM
Sophie Marceau -- syn --> Sophie Danièle Sylvie Maupu | nouveau mot
Sophie Marceau -- isa --> actrice | Nouvelle relation
South Park -- lieu --> Comedy Central | nouveau mot
steve Jobs -- syn --> Steven Paul Jobs | Nouvelle relation
Steve McQueen -- holo --> Les Sept Mercenaires | JDM
Steve McQueen -- syn --> Terence Steven MacQueen | Nouvelle relation
Steve McQueen -- isa --> Acteur | Nouvelle relation
Steve McQueen -- syn --> The King of Cool | nouveau mot
Steven Spielberg -- holo --> Les Dents de la mer | Nouvelle relation
Steven Spielberg -- syn --> Steven Allan Spielberg | Nouvelle relation
Steven Spielberg -- isa --> Réalisateur | Nouvelle relation
Steven Spielberg -- syn --> «&#160;The Entertainment King&#160;» | nouveau mot
Stromae -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Stromae -- syn --> Paul Van Haver | Nouvelle relation
Suisse -- lieu-1 --> Berne | JDM
Suisse -- isa --> État fédéral | Nouvelle relation
Suisse -- lieu-1 --> Allemand | Nouvelle relation
Suisse -- lieu-1 --> Franc suisse | Nouvelle relation
Suisse -- lieu-1 --> Zurich | JDM
Suède -- lieu-1 --> Stockholm | JDM
Suède -- isa --> Monarchie constitutionnelle | Nouvelle relation
Suède -- lieu-1 --> Couronne suédoise | Nouvelle relation
Suède -- lieu-1 --> Stockholm | JDM
Switched -- lieu --> ABC Family | nouveau mot
Sylvester Stallone -- syn --> Sylvester Gardenzio Stallone | nouveau mot
Sylvester Stallone -- isa --> Acteur | Nouvelle relation
Sylvester Stallone -- syn --> Sly, L'Étalon italien | nouveau mot
Sénégal -- lieu-1 --> Dakar | JDM
Sénégal -- isa --> République semi-présidentielle | nouveau mot
Sénégal -- lieu-1 --> Français | Nouvelle relation
Sénégal -- lieu-1 --> Franc CFA | Nouvelle relation
Sénégal -- lieu-1 --> Dakar | JDM
Tchéky Karyo -- holo --> L'Ours | JDM
Tchéky Karyo -- syn --> Baruh Djaki Karyo | nouveau mot
Tchéky Karyo -- isa --> Acteur | Nouvelle relation
The Beatles -- has_part --> John Lennon | JDM
The Beatles -- syn --> The Fab Four | nouveau mot
The Big Bang Theory -- lieu --> CBS | Nouvelle relation
Tom Cruise -- holo --> voir filmographie | nouveau mot
Tom Cruise -- syn --> Thomas Cruise Mapother  | nouveau mot
Tom Cruise -- isa --> Acteur | Nouvelle relation
Tom Hanks -- holo --> Splash | JDM
Tom Hanks -- syn --> Thomas Jeffrey Hanks | nouveau mot
Tom Hanks -- isa --> Acteur | Nouvelle relation
Transnistrie -- lieu-1 --> Tiraspol | Nouvelle relation
Transnistrie -- isa --> République | Nouvelle relation
Transnistrie -- lieu-1 --> moldave | Nouvelle relation
Transnistrie -- lieu-1 --> Rouble de Transnistrie | nouveau mot
Tunisie -- lieu-1 --> Tunis | JDM
Tunisie -- isa --> République | Nouvelle relation
Tunisie -- lieu-1 --> Dinar tunisien | Nouvelle relation
Tunisie -- lieu --> ONU | JDM
Tunisie -- carac --> Tunis | JDM
Turquie -- lieu-1 --> Ankara | JDM
Turquie -- isa --> République | Nouvelle relation
Turquie -- lieu-1 --> Turc | Nouvelle relation
Turquie -- lieu-1 --> livre turque | Nouvelle relation
Turquie -- lieu-1 --> Istanbul | JDM
Ukraine -- lieu-1 --> Kiev | JDM
Ukraine -- isa --> République | Nouvelle relation
Ukraine -- lieu-1 --> Hryvnia | nouveau mot
Ukraine -- lieu-1 --> Kiev | JDM
Union européenne -- lieu-1 --> 24 langues officielles | nouveau mot
Union européenne -- lieu-1 --> Euro | Nouvelle relation
Valérie Benguigui -- holo --> La Vérité si je mens ! | JDM
Valérie Benguigui -- isa --> actrice | Nouvelle relation
Vanessa Paradis -- isa --> Chanteuse | Nouvelle relation
Vanessa Paradis -- syn --> Vanessa Chantal Paradis | nouveau mot
Victor Hugo -- carac --> Français | Nouvelle relation
Victor Hugo -- syn --> Victor Marie Hugo | Nouvelle relation
Vincent Cassel -- holo --> La Haine | Nouvelle relation
Vincent Cassel -- syn --> Vincent Crochon | Nouvelle relation
Vincent Cassel -- isa --> Acteur | Nouvelle relation
Viêt Nam -- lieu-1 --> Hanoï | JDM
Viêt Nam -- isa --> République | Nouvelle relation
Viêt Nam -- lieu-1 --> Vietnamien | Nouvelle relation
Viêt Nam -- lieu-1 --> Đồng | nouveau mot
Viêt Nam -- lieu-1 --> Hô-Chi-Minh-Ville | JDM
Voltaire -- carac --> Français | Nouvelle relation
Voltaire -- syn --> François-Marie Arouet | Nouvelle relation
Walt Disney -- syn --> Walter Elias Disney | Nouvelle relation
Walt Disney -- isa --> animateur | Nouvelle relation
Walt Disney -- syn --> Walt | Nouvelle relation
whitney Houston -- isa --> Chanteuse | Nouvelle relation
whitney Houston -- syn --> Whitney Elizabeth Houston | nouveau mot
whitney Houston -- syn --> The Voice | nouveau mot
Will Smith -- holo --> Independence Day | JDM
Will Smith -- syn --> Willard Christopher Smith | Nouvelle relation
Will Smith -- isa --> Acteur | Nouvelle relation
Will Smith -- syn --> Fresh Prince, Will | nouveau mot
Will Smith -- holo --> Le Prince de Bel-Air | Nouvelle relation
William Shakespeare -- carac --> Anglais | Nouvelle relation
wolfgang Amadeus Mozart -- isa --> Compositeur | Nouvelle relation
wolfgang Amadeus Mozart -- syn --> Joannes Chrysostomus Wolfgangus Theophilus Mozart | nouveau mot
Yahoo! -- has_part --> David Filo | nouveau mot
YouTube -- has_part --> Steve Chen | nouveau mot
Édith Piaf -- isa --> Chanteuse | Nouvelle relation
Édith Piaf -- syn --> Édith Giovanna Gassion | nouveau mot
Édith Piaf -- syn --> La Môme Piaf | nouveau mot
Égypte -- lieu-1 --> Le Caire | JDM
Égypte -- isa --> République | Nouvelle relation
Égypte -- lieu-1 --> Arabe | Nouvelle relation
Égypte -- lieu-1 --> Livre égyptienne | Nouvelle relation
Égypte -- lieu-1 --> Le Caire | JDM
Émile Zola -- carac --> Français | Nouvelle relation
Équipe de France de football -- syn --> Les Bleus | Nouvelle relation
États-Unis -- lieu-1 --> Washington | JDM
États-Unis -- isa --> République constitutionnelle | Nouvelle relation
États-Unis -- lieu-1 --> Anglais | Nouvelle relation
États-Unis -- lieu-1 --> Dollar américain | Nouvelle relation
États-Unis -- lieu-1 --> New York | JDM
Égypte_ancienne -- lieu-1 --> Capitales de l'Égypte antique | nouveau mot
Grèce -- lieu-1 --> Athènes | JDM
Grèce -- isa --> République | Nouvelle relation
Grèce -- lieu-1 --> Grec | Nouvelle relation
Grèce -- lieu-1 --> Euro | Nouvelle relation
Grèce -- lieu-1 --> Athènes | JDM
Iran -- lieu-1 --> Téhéran | JDM
Iran -- isa --> République islamique | Nouvelle relation
Iran -- lieu-1 --> persan | Nouvelle relation
Iran -- lieu-1 --> Rial | Nouvelle relation
Iran -- lieu-1 --> Téhéran | JDM
France -- lieu-1 --> Paris | JDM
France -- isa --> République | JDM
France -- lieu-1 --> Français | JDM
France -- lieu-1 --> Euro | Nouvelle relation
France -- lieu --> ONU | Nouvelle relation
France -- lieu-1 --> Paris | JDM
France -- domain-1 --> Claude Bartolone | JDM
France -- lieu-1 --> Paris | JDM
France -- isa --> République | JDM
France -- lieu-1 --> Français | JDM
France -- lieu-1 --> Euro | Nouvelle relation
France -- lieu --> ONU | Nouvelle relation
France -- lieu-1 --> Paris | JDM
France -- domain-1 --> Claude Bartolone | JDM
Royaume-Uni -- lieu-1 --> Londres | JDM
Royaume-Uni -- isa --> Monarchie constitutionnelle | Nouvelle relation
Royaume-Uni -- lieu-1 --> Anglais | Nouvelle relation
Royaume-Uni -- lieu-1 --> Livre sterling | Nouvelle relation
Royaume-Uni -- lieu-1 --> Londres | JDM
Montesquieu -- carac --> Français | Nouvelle relation
Montesquieu -- syn --> Charles de Secondat | nouveau mot
Union_européenne -- lieu-1 --> 24 langues officielles | nouveau mot
Union_européenne -- lieu-1 --> Euro | Nouvelle relation
Suisse -- lieu-1 --> Berne | JDM
Suisse -- isa --> État fédéral | Nouvelle relation
Suisse -- lieu-1 --> Allemand | Nouvelle relation
Suisse -- lieu-1 --> Franc suisse | Nouvelle relation
Suisse -- lieu-1 --> Zurich | JDM
Parlement_européen -- has_part --> 751 députés | nouveau mot
Thucydide -- carac --> grec ancien | Nouvelle relation
Thucydide -- syn --> Θουκυδίδης (Thoukudídês) | nouveau mot
Hérodote -- carac --> Grec ancien | Nouvelle relation
Hérodote -- syn --> Ἡρόδοτος | nouveau mot
Aristophane -- carac --> grec ancien | Nouvelle relation
Theodor_W._Adorno -- syn --> Theodor Ludwig Wellington Adorno | nouveau mot
Theodor_W._Adorno -- syn --> Theodor Ludwig Wellington Adorno | nouveau mot
Maroc -- lieu-1 --> Rabat | JDM
Maroc -- lieu-1 --> Casablanca | JDM
Maroc -- isa --> Monarchie constitutionnelle | Nouvelle relation
Maroc -- lieu-1 --> Arabe | Nouvelle relation
Maroc -- lieu-1 --> Dirham marocain | nouveau mot
Maroc -- lieu --> ONU | Nouvelle relation
Espagne -- lieu-1 --> Madrid | JDM
Espagne -- isa --> Monarchie | Nouvelle relation
Espagne -- lieu-1 --> Espagnol | Nouvelle relation
Espagne -- lieu-1 --> Euro | Nouvelle relation
Espagne -- lieu-1 --> Madrid | JDM
Denis_Diderot -- carac --> français | Nouvelle relation
Abbasside -- lieu-1 --> successivement | Nouvelle relation
Ibn_Khaldoun -- syn --> Abou Zeid Abd ur-Rahman Bin Mohamad Bin Khaldoun al-Hadrami | nouveau mot
Érasme -- carac --> latin | Nouvelle relation
Pétrarque -- carac --> latine | Nouvelle relation
Pétrarque -- syn --> Francesco Petrarca | Nouvelle relation
Denis_Diderot -- carac --> français | Nouvelle relation
Voltaire -- carac --> Français | Nouvelle relation
Voltaire -- syn --> François-Marie Arouet | Nouvelle relation
Denis_Diderot -- carac --> français | Nouvelle relation
Autriche -- lieu-1 --> Vienne | JDM
Autriche -- isa --> République | Nouvelle relation
Autriche -- lieu-1 --> Allemand | Nouvelle relation
Autriche -- lieu-1 --> Euro | Nouvelle relation
Autriche -- lieu-1 --> Vienne | JDM
Pologne -- lieu-1 --> Varsovie | JDM
Pologne -- isa --> République | Nouvelle relation
Pologne -- lieu-1 --> Polonais | Nouvelle relation
Pologne -- lieu-1 --> Złoty | nouveau mot
Pologne -- lieu-1 --> Varsovie | JDM
Albert_Camus -- syn --> Albert Camus | Nouvelle relation
Inde -- lieu-1 --> New Delhi | JDM
Inde -- isa --> République | Nouvelle relation
Inde -- lieu-1 --> Hindi | Nouvelle relation
Inde -- lieu-1 --> Roupie indienne | Nouvelle relation
Inde -- lieu --> Commonwealth | nouveau mot
Inde -- lieu-1 --> Mumbai (Bombay) | nouveau mot
Dynastie_Song -- lieu-1 --> Bianjing | Nouvelle relation
Dynastie_Song -- lieu-1 --> Jiaozi, Huizi,  | nouveau mot
Dynastie_Ming -- lieu-1 --> Nankin | Nouvelle relation
Dynastie_Tang -- lieu-1 --> Chang'an | Nouvelle relation
dynastie_Han -- lieu-1 --> Chang'an | Nouvelle relation
dynastie_Han -- lieu-1 --> Wuzhu | Nouvelle relation
