Russie -- lieu-1 --> Moscou | JDM
Amanda Lear -- isa --> artiste peintre | Nouvelle relation
Amanda Lear -- syn --> Tapp | Nouvelle relation
Amazon.com -- has_part --> Jeff Bezos | nouveau mot
Amber Heard -- holo --> All the Boys Love Mandy Lane | nouveau mot
Amber Heard -- syn --> Amber Laura Heard | Nouvelle relation
Amber Heard -- isa --> actrice | Nouvelle relation
André Dussollier -- holo --> Trois hommes et un couffin | JDM
André Dussollier -- isa --> Acteur | Nouvelle relation
Angelina Jolie -- holo --> Lara Croft : Tomb Raider | Nouvelle relation
Angelina Jolie -- syn --> Angelina Jolie Voight | nouveau mot
Angelina Jolie -- isa --> actrice | Nouvelle relation
Antoine de Caunes -- isa --> Acteur | Nouvelle relation
Apple -- has_part --> Steve Jobs | nouveau mot
Argentine -- lieu-1 --> Buenos Aires | JDM
Argentine -- isa --> République | Nouvelle relation
Argentine -- lieu-1 --> Espagnol | Nouvelle relation
Argentine -- lieu-1 --> pas argentin | Nouvelle relation
Argentine -- lieu-1 --> Buenos Aires | JDM
Arielle Dombasle -- holo --> Pauline à la plage | nouveau mot
Arielle Dombasle -- syn --> Arielle Laure Maxime Sonnery | nouveau mot
Arielle Dombasle -- isa --> actrice | Nouvelle relation
Arnold Schwarzenegger -- holo --> Conan le Barbare | JDM
Arnold Schwarzenegger -- syn --> Arnold Alois Schwarzenegger | nouveau mot
Arnold Schwarzenegger -- isa --> Acteur | Nouvelle relation
Arnold Schwarzenegger -- syn --> «&#160;Schwarzy&#160;» | nouveau mot
Arthur Rimbaud -- carac --> Français | Nouvelle relation
Arthur Rimbaud -- syn --> Jean Nicolas Arthur Rimbaud | Nouvelle relation
Australie -- lieu-1 --> Canberra | JDM
Australie -- isa --> Monarchie parlementaire | Nouvelle relation
Australie -- lieu-1 --> Anglais | Nouvelle relation
Australie -- lieu-1 --> Dollar australien | Nouvelle relation
Australie -- lieu-1 --> Sydney | JDM
Autriche -- lieu-1 --> Vienne | JDM
Autriche -- isa --> République | Nouvelle relation
Autriche -- lieu-1 --> Allemand | Nouvelle relation
Autriche -- lieu-1 --> Euro | Nouvelle relation
Autriche -- lieu-1 --> Vienne | JDM
Ayrton Senna -- syn --> Magic Senna | nouveau mot
Belgique -- lieu-1 --> Bruxelles | JDM
Belgique -- isa --> Monarchie constitutionnelle | Nouvelle relation
Belgique -- lieu-1 --> Néerlandais | Nouvelle relation
Belgique -- lieu-1 --> Euro | Nouvelle relation
Belgique -- lieu-1 --> Bruxelles | JDM
Bernard Lavilliers -- isa --> Chanteur | Nouvelle relation
Bernard Lavilliers -- isa --> Acteur | Nouvelle relation
Bernard Lavilliers -- syn --> Bernard Oulion | Nouvelle relation
bernard-Henri Lévy -- carac --> français | Nouvelle relation
beyoncé Knowles -- isa --> Chanteuse | Nouvelle relation
beyoncé Knowles -- syn --> Beyoncé Giselle Knowles | Nouvelle relation
Bill Gates -- syn --> William Henry «&#160;Bill&#160;» Gates III | nouveau mot
Bill Murray -- holo --> SOS Fantômes | JDM
Bill Murray -- syn --> William James Murray | nouveau mot
Bill Murray -- isa --> Acteur | Nouvelle relation
Bob Marley -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Bob Marley -- syn --> Robert Nesta Marley | Nouvelle relation
Booba -- isa --> Rappeur | Nouvelle relation
Booba -- syn --> Élie Yaffa | Nouvelle relation
Booba -- syn --> baobab | Nouvelle relation
Boris Vian -- carac --> français | Nouvelle relation
Brad Pitt -- holo --> cf. | Nouvelle relation
Brad Pitt -- syn --> William Bradley Pitt | nouveau mot
Brad Pitt -- isa --> Acteur | Nouvelle relation
bradley Cooper -- holo --> Very Bad Trip | nouveau mot
bradley Cooper -- syn --> Bradley Charles Cooper | nouveau mot
bradley Cooper -- isa --> Acteur | Nouvelle relation
bradley Cooper -- holo --> Alias | Nouvelle relation
Braquo -- lieu --> canal | Nouvelle relation
Breaking Bad -- lieu --> OMC | Nouvelle relation
Brigitte Bardot -- holo --> Les Grandes Manœuvres | nouveau mot
Brigitte Bardot -- syn --> Brigitte Anne-Marie Bardot | nouveau mot
Brigitte Bardot -- isa --> actrice | Nouvelle relation
Bruce Lee -- holo --> The Big Boss | nouveau mot
Bruce Lee -- syn --> Lee Jun-fan, Bruce Lee | nouveau mot
Bruce Lee -- isa --> Réalisateur | Nouvelle relation
Bruce Lee -- syn --> le Petit Dragon Lee | nouveau mot
bruce Willis -- holo --> Die Hard | Nouvelle relation
bruce Willis -- syn --> Walter Bruce Willis | nouveau mot
bruce Willis -- isa --> Acteur | Nouvelle relation
bruce Willis -- syn --> W.B. Willis | nouveau mot
bruce Willis -- holo --> Clair de lune | Nouvelle relation
Brésil -- lieu-1 --> Brasilia | JDM
Brésil -- isa --> République | Nouvelle relation
Brésil -- lieu-1 --> Portugais | Nouvelle relation
Brésil -- lieu-1 --> Réal | Nouvelle relation
Brésil -- lieu-1 --> São Paulo | Nouvelle relation
Burkina Faso -- lieu-1 --> Ouagadougou | JDM
Burkina Faso -- isa --> Faso | Nouvelle relation
Burkina Faso -- lieu-1 --> Français | Nouvelle relation
Burkina Faso -- lieu-1 --> Franc CFA | Nouvelle relation
Burkina Faso -- lieu-1 --> Ouagadougou | JDM
Canada -- lieu-1 --> Ottawa | JDM
Canada -- isa --> Monarchie constitutionnelle | Nouvelle relation
Canada -- lieu-1 --> Anglais | Nouvelle relation
Canada -- lieu-1 --> Dollar canadien | Nouvelle relation
Canada -- lieu-1 --> Toronto | JDM
Cap-Vert -- lieu-1 --> Praia | JDM
Cap-Vert -- isa --> République | Nouvelle relation
Cap-Vert -- lieu-1 --> Escudo cap-verdien | nouveau mot
Cap-Vert -- lieu-1 --> Praia | JDM
Cate Blanchett -- holo --> Le Seigneur des anneaux | JDM
Cate Blanchett -- syn --> Catherine Élise Blanchett | Nouvelle relation
Cate Blanchett -- isa --> actrice | Nouvelle relation
Catherine Deneuve -- holo --> Les Parapluies de Cherbourg | JDM
Catherine Deneuve -- syn --> Catherine Fabienne Dorléac | Nouvelle relation
Catherine Deneuve -- isa --> actrice | Nouvelle relation
Charles Baudelaire -- carac --> français | Nouvelle relation
Charles Baudelaire -- syn --> Charles-Pierre Baudelaire | Nouvelle relation
Charlie Chaplin -- holo --> Filmographie | Nouvelle relation
Charlie Chaplin -- syn --> Charles Spencer Chaplin | Nouvelle relation
Charlie Chaplin -- isa --> Acteur | Nouvelle relation
Charlie Chaplin -- syn --> The Tramp | nouveau mot
Charmed -- lieu --> The WB | nouveau mot
Che Guevara -- syn --> Ernesto Guevara | Nouvelle relation
Chine -- lieu-1 --> Pékin | JDM
Chine -- isa --> République | Nouvelle relation
Chine -- lieu-1 --> Chinois | Nouvelle relation
Chine -- lieu-1 --> yuan | JDM
Chine -- lieu-1 --> Shanghai | JDM
Christian Bale -- holo --> Empire du soleil | nouveau mot
Christian Bale -- syn --> Christian Charles Philip Bale | nouveau mot
Christian Bale -- isa --> Acteur | Nouvelle relation
Christian Clavier -- holo --> Les Bronzés (série de films) | nouveau mot
Christian Clavier -- isa --> Acteur | Nouvelle relation
Christian Clavier -- holo --> Napoléon | Nouvelle relation
Christophe Colomb -- syn --> Cristoforo Colombo ( | Nouvelle relation
Clara Morgane -- syn --> Emmanuelle Aurélie Munos | Nouvelle relation
Claude François -- isa --> Chanteur | Nouvelle relation
Claude François -- syn --> Claude Antoine Marie François | nouveau mot
Claude François -- syn --> Cloclo | JDM
Claude Lelouch -- holo --> Un homme et une femme | Nouvelle relation
Claude Lelouch -- isa --> Réalisateur | Nouvelle relation
Claude Nougaro -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Coluche -- syn --> Michel Gérard Joseph Colucci | nouveau mot
Corée du Nord -- lieu-1 --> Pyongyang | JDM
Corée du Nord -- isa --> De jure | Nouvelle relation
Corée du Nord -- lieu-1 --> Coréen | Nouvelle relation
Corée du Nord -- lieu-1 --> Won | Nouvelle relation
Corée du Nord -- lieu-1 --> Pyongyang | JDM
Croatie -- lieu-1 --> Zagreb | JDM
Croatie -- isa --> République parlementaire | Nouvelle relation
Croatie -- lieu-1 --> Croate | Nouvelle relation
Croatie -- lieu-1 --> Kuna | Nouvelle relation
Croatie -- lieu-1 --> Zagreb | JDM
Cuba -- lieu-1 --> La Havane | Nouvelle relation
Cuba -- isa --> République | Nouvelle relation
Cuba -- lieu-1 --> Espagnol | Nouvelle relation
Cuba -- lieu-1 --> Peso cubain convertible | nouveau mot
Cuba -- lieu-1 --> La Havane | Nouvelle relation
Céline Dion -- isa --> Chanteuse | Nouvelle relation
Céline Dion -- syn --> Céline Marie Claudette Dion | Nouvelle relation
daft Punk -- has_part --> Thomas Bangalter | Nouvelle relation
Danemark -- lieu-1 --> Copenhague | JDM
Danemark -- isa --> Monarchie constitutionnelle | Nouvelle relation
Danemark -- lieu-1 --> Danois | Nouvelle relation
Danemark -- lieu-1 --> couronne danoise | Nouvelle relation
Danemark -- lieu-1 --> Copenhague | JDM
Daniel Craig -- holo --> Les Sentiers de la perdition | JDM
Daniel Craig -- syn --> Daniel Wroughton Craig | nouveau mot
Daniel Craig -- isa --> Acteur | Nouvelle relation
Dany Boon -- holo --> Joyeux Noël | Nouvelle relation
Dany Boon -- syn --> Daniel Hamidou | Nouvelle relation
Dany Boon -- isa --> Acteur | Nouvelle relation
David Guetta -- isa --> Disc jockey | Nouvelle relation
David Guetta -- syn --> Pierre David Guetta | nouveau mot
desperate Housewives -- lieu --> ABC | Nouvelle relation
Dieudonné -- syn --> Dieudonné M'Bala M'Bala | Nouvelle relation
Divergente -- has_auteur --> Neil Burger | JDM
Divergente -- has_actors --> Evan Daugherty | nouveau mot
Django Unchained -- has_auteur --> Quentin Tarantino | Nouvelle relation
Django Unchained -- has_actors --> Quentin Tarantino | JDM
Dr House -- lieu --> Fox | Nouvelle relation
Elvis Presley -- isa --> Chanteur | Nouvelle relation
Elvis Presley -- syn --> Elvis Aaron Presley | Nouvelle relation
Elvis Presley -- syn --> The King | Nouvelle relation
Emilia Clarke -- holo --> Terminator Genisys | nouveau mot
Emilia Clarke -- isa --> actrice | Nouvelle relation
Emilia Clarke -- holo --> Game of Thrones | Nouvelle relation
Eminem -- isa --> Rappeur | Nouvelle relation
Eminem -- syn --> Marshall Bruce Mathers  | Nouvelle relation
Eminem -- syn --> Slim Shady | Nouvelle relation
Emma Watson -- holo --> Saga d'Harry Potter | nouveau mot
Emma Watson -- syn --> Emma Charlotte Duerre Watson | Nouvelle relation
Emma Watson -- isa --> actrice | Nouvelle relation
Empire ottoman -- lieu-1 --> Söğüt | nouveau mot
Empire ottoman -- lieu-1 --> cake | Nouvelle relation
Espagne -- lieu-1 --> Madrid | JDM
Espagne -- isa --> Monarchie | Nouvelle relation
Espagne -- lieu-1 --> Espagnol | Nouvelle relation
Espagne -- lieu-1 --> Euro | Nouvelle relation
Espagne -- lieu-1 --> Madrid | JDM
Eva Green -- holo --> Innocents: The Dreamers | nouveau mot
Eva Green -- isa --> actrice | Nouvelle relation
Eva Green -- holo --> Camelot | Nouvelle relation
Florent Pagny -- isa --> Chanteur | Nouvelle relation
France -- lieu-1 --> Paris | JDM
France -- isa --> République | JDM
France -- lieu-1 --> Français | JDM
France -- lieu-1 --> Euro | Nouvelle relation
France -- lieu --> ONU | Nouvelle relation
France -- lieu-1 --> Paris | JDM
France -- domain-1 --> Claude Bartolone | JDM
Franck Dubosc -- holo --> Camping | JDM
Franck Dubosc -- isa --> Humoriste | Nouvelle relation
Franck Dubosc -- holo --> Peplum | Nouvelle relation
Friends -- lieu --> NBC | Nouvelle relation
Gad Elmaleh -- holo --> La Vérité si je mens ! 2 | nouveau mot
Gad Elmaleh -- isa --> Humoriste | Nouvelle relation
Game of Thrones -- lieu --> HBO | JDM
Garou -- isa --> Chanteur | Nouvelle relation
Garou -- syn --> Pierre Garand | Nouvelle relation
Google -- has_part --> Larry Page | Nouvelle relation
Grigori Raspoutine -- syn --> Grigori Efimovitch Raspoutine | Nouvelle relation
Grèce -- lieu-1 --> Athènes | JDM
Grèce -- isa --> République | Nouvelle relation
Grèce -- lieu-1 --> Grec | Nouvelle relation
Grèce -- lieu-1 --> Euro | Nouvelle relation
Grèce -- lieu-1 --> Athènes | JDM
Guillaume Apollinaire -- carac --> Français | Nouvelle relation
Guillaume Apollinaire -- syn --> Guglielmo Alberto Wladimiro Alessandro Apollinare de Kostrowitzky | nouveau mot
Guillaume Gallienne -- holo --> Jet Set | Nouvelle relation
Guillaume Gallienne -- isa --> Acteur | Nouvelle relation
Guillaume Gallienne -- holo --> Les Bonus de Guillaume | nouveau mot
Guy de Maupassant -- carac --> Français | Nouvelle relation
Guy de Maupassant -- syn --> Henry-René-Albert-Guy de Maupassant | nouveau mot
Harrison Ford -- holo --> Star Wars | JDM
Harrison Ford -- isa --> Acteur | Nouvelle relation
hayao Miyazaki -- holo --> Nausicaä de la vallée du vent | nouveau mot
hayao Miyazaki -- syn --> 宮崎駿 | nouveau mot
hayao Miyazaki -- isa --> Réalisateur | Nouvelle relation
Haïti -- lieu-1 --> Port-au-Prince | JDM
Haïti -- isa --> République | Nouvelle relation
Haïti -- lieu-1 --> Créole | Nouvelle relation
Haïti -- lieu-1 --> Gourde haïtienne | nouveau mot
Haïti -- has_part --> Port-au-Prince | JDM
Heath Ledger -- holo --> The Patriot, le chemin de la liberté | nouveau mot
Heath Ledger -- syn --> Heathcliff Andrew Ledger | Nouvelle relation
Heath Ledger -- isa --> Acteur | Nouvelle relation
Homère -- carac --> Grec ancien | Nouvelle relation
Homère -- syn --> Ὅμηρος | nouveau mot
Honoré de Balzac -- carac --> Français | Nouvelle relation
How I Met Your Mother -- lieu --> CBS | Nouvelle relation
Hélène de Fougerolles -- syn --> Hélène Christine Marie Rigoine de Fougerolles | nouveau mot
Hélène de Fougerolles -- isa --> actrice | Nouvelle relation
Inde -- lieu-1 --> New Delhi | JDM
Inde -- isa --> République | Nouvelle relation
Inde -- lieu-1 --> Hindi | Nouvelle relation
Inde -- lieu-1 --> Roupie indienne | Nouvelle relation
Inde -- lieu --> Commonwealth | nouveau mot
Inde -- lieu-1 --> Mumbai (Bombay) | nouveau mot
Indila -- isa --> auteure-compositrice-interpr�te | Nouvelle relation
Indila -- syn --> Adila Sedraïa | Nouvelle relation
Ingrid Chauvin -- isa --> actrice | Nouvelle relation
Ingrid Chauvin -- holo --> Lieutenant Marie Balaguère | Nouvelle relation
Isabelle Adjani -- holo --> L'Histoire d'Adèle H. | JDM
Isabelle Adjani -- syn --> Isabelle Yasmina Adjani | nouveau mot
Isabelle Adjani -- isa --> actrice | Nouvelle relation
Islande -- lieu-1 --> Reykjavik | JDM
Islande -- isa --> République parlementaire | Nouvelle relation
Islande -- lieu-1 --> Islandais | Nouvelle relation
Islande -- lieu-1 --> Couronne islandaise | Nouvelle relation
Islande -- lieu-1 --> Reykjavik | JDM
Israël -- lieu-1 --> Jérusalem | JDM
Israël -- isa --> Démocratie parlementaire | Nouvelle relation
Israël -- lieu-1 --> hébreu | Nouvelle relation
Israël -- lieu-1 --> Nouveau shekel | nouveau mot
Israël -- lieu-1 --> Jérusalem | JDM
Italie -- lieu-1 --> Rome | JDM
Italie -- isa --> République parlementaire | Nouvelle relation
Italie -- lieu-1 --> Italien | Nouvelle relation
Italie -- lieu-1 --> Euro | Nouvelle relation
Italie -- lieu-1 --> Rome | JDM
Jacques Brel -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Jacques Brel -- syn --> Jacques Romain Georges Brel | nouveau mot
Jacques Mesrine -- syn --> Jacques René Mesrine | Nouvelle relation
Japon -- lieu-1 --> Tokyo | JDM
Japon -- isa --> Monarchie constitutionnelle | Nouvelle relation
Japon -- lieu-1 --> Japonais | Nouvelle relation
Japon -- lieu-1 --> Yen | Nouvelle relation
Japon -- lieu-1 --> Tokyo | JDM
Jared Leto -- isa --> Acteur | Nouvelle relation
Jared Leto -- syn --> Bartholomew Cubbins | Nouvelle relation
Jason Statham -- holo --> Snatch | JDM
Jason Statham -- isa --> Acteur | Nouvelle relation
Jason Statham -- syn --> Jay | Nouvelle relation
Jean Dujardin -- holo --> Brice de Nice | JDM
Jean Dujardin -- syn --> Jean Edmond Dujardin | nouveau mot
Jean Dujardin -- isa --> Acteur | Nouvelle relation
Jean Dujardin -- holo --> Un gars, une fille | Nouvelle relation
Jean Racine -- carac --> français | Nouvelle relation
Jean Reno -- holo --> Le Grand Bleu | JDM
Jean Reno -- syn --> Juan Moreno y Herrera-Jiménez | nouveau mot
Jean Reno -- isa --> Acteur | Nouvelle relation
Jean de La Fontaine -- carac --> français | Nouvelle relation
jean-Jacques Goldman -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
jean-Jacques Goldman -- syn --> O. Menor, Sam Brewski, Sweet Memories, First Prayer | nouveau mot
Jenifer -- isa --> Chanteuse | Nouvelle relation
Jenifer -- syn --> Jenifer Bartoli | nouveau mot
Jennifer Aniston -- holo --> The Good Girl | nouveau mot
Jennifer Aniston -- syn --> Jennifer Joanna Aniston | Nouvelle relation
Jennifer Aniston -- isa --> actrice | Nouvelle relation
Jennifer Aniston -- syn --> Jen | Nouvelle relation
Jennifer Aniston -- holo --> Friends | Nouvelle relation
Jennifer Lawrence -- holo --> Winter's Bone | JDM
Jennifer Lawrence -- syn --> Jennifer Shrader Lawrence | nouveau mot
Jennifer Lawrence -- isa --> actrice | Nouvelle relation
Jennifer Lawrence -- syn --> Jen ou J-Law | nouveau mot
Jennifer Lopez -- isa --> actrice | Nouvelle relation
Jennifer Lopez -- syn --> Jolo | Nouvelle relation
jennifer Love Hewitt -- holo --> Sister Act, acte 2 | nouveau mot
jennifer Love Hewitt -- isa --> actrice | Nouvelle relation
jennifer Love Hewitt -- holo --> La Vie à cinq | nouveau mot
joaquin Phoenix -- holo --> Gladiator | Nouvelle relation
joaquin Phoenix -- isa --> Acteur | Nouvelle relation
John Lennon -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
John Lennon -- syn --> John Winston Lennon | Nouvelle relation
johnny Depp -- holo --> Edward aux mains d'argent | nouveau mot
johnny Depp -- syn --> John Christopher Depp II | nouveau mot
johnny Depp -- isa --> Acteur | Nouvelle relation
johnny Depp -- holo --> 21 Jump Street | nouveau mot
Johnny Hallyday -- isa --> chanteur | JDM
Johnny Hallyday -- isa --> acteur | JDM
Johnny Hallyday -- syn --> Jean-Philippe Smet | nouveau mot
Jules Verne -- carac --> Français | Nouvelle relation
Jules Verne -- syn --> Jules Gabriel Verne | nouveau mot
Julia Roberts -- holo --> Pretty Woman | nouveau mot
Julia Roberts -- syn --> Julia Fiona Roberts | nouveau mot
Julia Roberts -- isa --> actrice | Nouvelle relation
Julia Roberts -- syn --> Jules | Nouvelle relation
julie Gayet -- holo --> Delphine 1, Yvan 0 | nouveau mot
julie Gayet -- isa --> actrice | Nouvelle relation
Justin Bieber -- isa --> auteur-compositeur-interprète | Nouvelle relation
Justin Bieber -- isa --> acteur | Nouvelle relation
Justin Bieber -- syn --> Justin Drew Bieber | nouveau mot
justin Timberlake -- isa --> auteur-compositeur-interpr�te | Nouvelle relation
Kad Merad -- holo --> Mais qui a tu� Pamela Rose | Nouvelle relation
Kad Merad -- syn --> Kadour Merad | Nouvelle relation
Kad Merad -- isa --> Acteur | Nouvelle relation
Katharine Hepburn -- holo --> L'Impossible Monsieur Bébé | JDM
Katharine Hepburn -- syn --> Katharine Houghton Hepburn | nouveau mot
Katharine Hepburn -- isa --> actrice | Nouvelle relation
Katharine Hepburn -- syn --> First Lady of Cinema | nouveau mot
Katy Perry -- isa --> Chanteuse | Nouvelle relation
Katy Perry -- syn --> Katheryn Elizabeth Hudson | nouveau mot
Keanu Reeves -- holo --> Point Break | JDM
Keanu Reeves -- syn --> Keanu Charles Reeves | Nouvelle relation
Keanu Reeves -- isa --> Acteur | Nouvelle relation
keira Knightley -- holo --> Joue-la comme Beckham | nouveau mot
keira Knightley -- syn --> Keira Christina Knightley | nouveau mot
keira Knightley -- isa --> actrice | Nouvelle relation
kev Adams -- holo --> Les Profs | nouveau mot
kev Adams -- syn --> Kevin Smadja | nouveau mot
kev Adams -- isa --> Humoriste | Nouvelle relation
kev Adams -- holo --> Soda | Nouvelle relation
kevin Spacey -- holo --> Usual Suspects | Nouvelle relation
kevin Spacey -- syn --> Kevin Spacey Fowler | nouveau mot
kevin Spacey -- isa --> Acteur | Nouvelle relation
kevin Spacey -- holo --> House of Cards | nouveau mot
Kosovo -- lieu-1 --> Pristina | Nouvelle relation
Kosovo -- isa --> République | Nouvelle relation
Kosovo -- lieu-1 --> albanais | Nouvelle relation
Kosovo -- lieu-1 --> Euro | Nouvelle relation
Kosovo -- lieu-1 --> Pristina | Nouvelle relation
Kristen Bell -- holo --> Sans Sarah, rien ne va ! | nouveau mot
Kristen Bell -- syn --> Kristen Anne Bell | Nouvelle relation
Kristen Bell -- isa --> actrice | Nouvelle relation
Kristen Bell -- syn --> K-Bell | nouveau mot
Kristen Bell -- holo --> Veronica Mars | JDM
Kurt Cobain -- isa --> Musicien | Nouvelle relation
Kurt Cobain -- syn --> Kurt Donald Cobain | Nouvelle relation
Kylie Minogue -- isa --> Chanteuse | Nouvelle relation
La Leçon de piano -- has_auteur --> Jane Campion | nouveau mot
La Leçon de piano -- has_actors --> Jane Campion | nouveau mot
La Petite Maison dans la prairie -- lieu --> NBC | Nouvelle relation
